City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
521,Jibuti,DJ,80.02,scattered clouds,11.5,42.5,Orchid Main Camp Goubet
525,Santa Rosa,PH,78.78,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
526,Sayula,MX,80.31,overcast clouds,19.8667,-103.6167,Gran Casa Sayula Hotel Galeria And Spa
527,Maryville,US,77.16,overcast clouds,35.7565,-83.9705,"Holiday Inn Express & Suites Alcoa (Knoxville Airport), an IHG Hotel"
528,Sulangan,PH,82.38,light rain,11.1373,123.7228,Maia's Beach Resort
533,Alofi,NU,76.89,broken clouds,-19.0595,-169.9187,Taloa Heights
535,Sokoni,TZ,78.66,clear sky,-6.4333,39.55,Ujamaa Beach Resort
540,Doha,QA,84.09,clear sky,25.2867,51.5333,Movenpick Hotel Doha
547,Nong Chik,TH,77.81,overcast clouds,6.8436,101.178,Bakkahland Farm and Resort
549,Bosaso,SO,80.06,clear sky,11.2842,49.1816,Red Sea Hotel
552,Diplo,PK,77.43,clear sky,24.4667,69.584,Mukhi Ahmed Ali Residency
555,Phan Thiet,VN,76.48,overcast clouds,10.9333,108.1,Hotel Saigon-PT
557,Kollam,IN,78.67,overcast clouds,8.8833,76.6,Nani Hotels and Resorts
561,Safford,US,81.93,clear sky,32.834,-109.7076,SpringHill Suites by Marriott Thatcher
563,Mackay,AU,75.69,broken clouds,-21.15,149.2,International Lodge Motel
565,Sesheke,ZM,75.67,light rain,-17.4759,24.2968,Protea Hotel by Marriott Zambezi River Lodge
569,Sinnamary,GF,80.92,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
575,Tshikapa,CD,76.17,broken clouds,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
576,Yanam,IN,75.7,broken clouds,16.7333,82.2167,The Regency Hotel
580,Inirida,CO,85.89,moderate rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
