City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
280,Pychas,RU,56.5033,52.4409,38.05,80,100,8.7,overcast clouds
281,Klaksvik,FO,62.2266,-6.589,50.92,90,97,24.34,overcast clouds
282,Surt,LY,31.2089,16.5887,77.47,64,100,5.46,overcast clouds
283,Puerto Gaitan,CO,4.3133,-72.0816,87.76,61,100,9.1,overcast clouds
284,Hobart,AU,-42.8794,147.3294,48.06,75,75,4.0,broken clouds
285,Erenhot,CN,43.6475,111.9767,44.78,30,90,10.31,overcast clouds
286,Pionerskiy,RU,54.9508,20.2275,42.64,79,100,13.65,overcast clouds
287,Pacifica,US,37.6138,-122.4869,64.62,94,90,28.01,moderate rain
288,Kavieng,PG,-2.5744,150.7967,82.31,75,78,12.37,broken clouds
289,Russell,US,32.3502,-85.1999,76.15,52,75,0.0,broken clouds
290,Kamina,CD,-8.7386,24.9906,66.22,95,100,4.03,overcast clouds
291,Ruidoso,US,33.3317,-105.673,71.06,21,1,1.99,clear sky
292,Ilembula,TZ,-8.9,34.5833,69.22,50,5,9.86,clear sky
293,Yeppoon,AU,-23.1333,150.7333,69.58,84,62,3.89,broken clouds
294,Sinaloa,MX,25.0,-107.5,92.1,55,0,3.0,clear sky
295,Oktyabrskoye,RU,43.0645,44.7417,41.14,93,94,2.24,mist
296,West Bay,KY,19.3667,-81.4167,89.67,71,75,5.01,broken clouds
297,Atambua,ID,-9.1061,124.8925,75.61,83,100,1.43,overcast clouds
298,Tadine,NC,-21.55,167.8833,72.32,72,98,10.8,overcast clouds
299,Longyearbyen,SJ,78.2186,15.6401,22.84,74,75,6.91,broken clouds
300,Ancud,CL,-41.8697,-73.8203,60.42,82,92,16.46,overcast clouds
301,Blagoyevo,RU,63.3667,47.9167,27.97,86,91,7.07,overcast clouds
302,Dalby,AU,-27.1833,151.2667,65.1,66,13,7.54,few clouds
303,Patrocinio,BR,-18.9439,-46.9925,77.32,77,100,3.91,overcast clouds
304,Urubamba,PE,-13.3047,-72.1158,77.9,61,94,5.48,overcast clouds
305,Rundu,NA,-17.9333,19.7667,81.61,38,59,9.37,broken clouds
306,Kencong,ID,-8.2833,113.3667,76.42,81,77,0.92,broken clouds
307,Tura,IN,25.5198,90.2201,67.1,93,0,2.98,clear sky
308,Port Hawkesbury,CA,45.6169,-61.3485,47.79,85,90,10.0,overcast clouds
309,Tasiilaq,GL,65.6145,-37.6368,30.15,94,100,27.6,snow
310,Abrau-Dyurso,RU,44.69,37.59,42.26,74,58,7.96,broken clouds
311,Cherskiy,RU,68.75,161.3,-14.08,99,36,5.23,scattered clouds
312,Gouyave,GD,12.1646,-61.7296,86.77,66,20,16.11,few clouds
313,Yulara,AU,-25.2406,130.9889,60.64,51,0,8.05,clear sky
314,Omboue,GA,-1.5746,9.2618,77.65,86,91,6.29,overcast clouds
315,Boguchany,RU,58.3814,97.4531,40.51,81,100,13.0,overcast clouds
316,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,93.0,59,40,2.3,scattered clouds
317,Sevlievo,BG,43.0258,25.1136,48.0,70,33,3.42,scattered clouds
318,Sangar,RU,63.9242,127.4739,20.16,96,100,6.93,light snow
319,Escalerillas,MX,22.1333,-101.0667,75.72,32,94,4.74,overcast clouds
320,Havre-Saint-Pierre,CA,50.2334,-63.5986,48.56,87,90,6.91,overcast clouds
321,Maningrida,AU,-12.0667,134.2667,78.91,85,53,4.56,broken clouds
322,Port Keats,AU,-14.25,129.55,80.74,78,52,4.34,broken clouds
323,Nioro,GM,13.35,-15.75,82.53,74,100,4.63,overcast clouds
324,Kimbe,PG,-5.5502,150.1429,75.38,90,95,3.02,overcast clouds
325,Aljezur,PT,37.3191,-8.8033,60.08,79,6,7.11,clear sky
326,Tezu,IN,27.9167,96.1667,69.62,70,35,3.33,scattered clouds
327,Ohara,JP,35.25,140.3833,55.35,58,65,6.82,broken clouds
328,Oussouye,SN,12.485,-16.5469,86.18,84,100,4.88,light rain
329,Ribeira Grande,PT,38.5167,-28.7,64.8,72,20,6.91,few clouds
330,Diebougou,BF,10.9667,-3.25,81.77,60,37,4.03,scattered clouds
331,Torbay,CA,47.6666,-52.7314,58.68,91,20,16.11,very heavy rain
332,Akureyri,IS,65.6835,-18.0878,37.33,100,75,6.91,broken clouds
